owner_station_unit,zone,ptid,town,county_fips,state_fips,cod,plate_mw,cris_mw,sum_cap,win_cap,sum_2024,win_2024,dual,unit_type,fuel1,fuel2,energy_gwh,notes
"Niagara Wind Power, LLC Steel Wind",A,323596,Lackawanna,029,36,2007-01-23,20.0,,0.0,0.0,0.0,0.0,False,WT,LBW,,54.9,
"Valcour Bliss Windpark, LLC Bliss Wind Power",A,323608,Bliss,121,36,2008-03-20,100.5,,100.5,100.5,100.5,100.5,False,WT,LBW,,171.7,
"Erie Wind, LLC Erie Wind",A,323693,Lackawanna,029,36,2012-02-01,15.0,,0.0,0.0,0.0,0.0,False,WT,LBW,,41.3,
Arkwright Summit Wind Farm LLC Arkwright Summit Wind Farm,A,323751,Arkwright,013,36,2018-09-01,78.4,,78.4,78.4,78.4,78.4,False,WT,LBW,,230.3,
"Cassadaga Wind, LLC Cassadaga Wind",A,323784,Charlotte,013,36,2021-04-01,126.5,,126.0,126.0,0.0,0.0,False,WT,LBW,,214.9,
"Ball Hill Wind Energy, LLC Ball Hill Wind",A,323825,Hanover,013,36,2024-02-01,107.5,,100.0,100.0,107.5,107.5,False,WT,LBW,,244.9,
Canastota Windpower LLC Fenner Wind Power,C,24204,Fenner,053,36,2001-12-01,30.0,,30.0,30.0,0.0,0.0,False,WT,LBW,,64.4,
"Canandaigua Power Partners, LLC Canandaigua Wind Power",C,323617,Avoca,101,36,2008-12-05,125.0,,125.0,125.0,125.0,125.0,False,WT,LBW,,290.8,
Sheldon Energy LLC High Sheldon Wind Farm,C,323625,Sheldon,121,36,2009-02-01,118.1,,112.5,112.5,118.1,118.1,False,WT,LBW,,201.5,
"Valcour Wethersfield Windpark, LLC Wethersfield Wind Power",C,323626,Wethersfield,121,36,2008-12-11,126.0,,126.0,126.0,126.0,126.0,False,WT,LBW,,218.5,
Howard Wind LLC Howard Wind,C,323690,Howard,101,36,2011-12-01,55.4,,57.4,57.4,55.4,55.4,False,WT,LBW,,109.1,
Stony Creek Energy LLC Orangeville Wind Farm,C,323706,Orangeville,121,36,2013-12-01,93.9,,94.4,94.4,93.9,93.9,False,WT,LBW,,244.6,
Marsh Hill Energy LLC Marsh Hill Wind Farm,C,323713,Jasper,101,36,2014-12-01,16.2,,0.0,0.0,0.0,0.0,False,WT,LBW,,45.1,
"NextEra Energy Marketing, LLC Eight Point Wind",C,323820,Greenwood,101,36,2023-02-08,111.2,,101.2,101.2,111.2,111.2,False,WT,LBW,,264.1,
"Baron Winds, LLC Baron Winds",C,323822,Cohocton,101,36,2023-02-07,238.4,,300.0,300.0,121.8,121.8,False,WT,LBW,,344.7,
"Valcour Ellenburg Windapark,LLC Ellenburg Wind Power",D,323604,Ellenburg,019,36,2008-03-31,81.0,,81.0,81.0,81.0,81.0,False,WT,LBW,,143.1,
"Valcour Clinton Windpark,LLC Clinton Wind Power",D,323605,Clinton,019,36,2008-04-09,100.5,,100.5,100.5,100.5,100.5,False,WT,LBW,,149.0,
"Valcour Altona Windpark, LLC Altona Wind Power",D,323606,Altona,019,36,2008-09-23,97.5,,97.5,97.5,97.5,97.5,False,WT,LBW,,158.0,
"Valcour  Chateaugay Windpark, LLC Chateaugay Wind Power",D,323614,Chateaugay,033,36,2008-10-07,106.5,,106.5,106.5,106.5,106.5,False,WT,LBW,,170.6,
Marble River LLC Marble River Wind,D,323696,Ellenburg,019,36,2012-07-01,215.2,,215.2,215.2,215.2,215.2,False,WT,LBW,,388.4,
Jericho Rise Wind Farm LLC Jericho Rise Wind Farm,D,323719,Chateaugay,033,36,2016-12-01,77.7,,77.7,77.7,77.7,77.7,False,WT,LBW,,208.1,
"Madison Windpower, LLC Madison Wind Power",E,24146,Madison,053,36,2000-09-01,11.6,,11.5,11.5,11.6,11.6,False,WT,LBW,,7.3,
"Flat Rock Windpower, LLC Maple Ridge Wind 1",E,323574,Lowville,049,36,2006-01-01,231.0,,231.0,231.0,231.0,231.0,False,WT,LBW,,465.3,
"Flat Rock Windpower II, LLC Maple Ridge Wind 2",E,323611,Lowville,049,36,2007-12-01,90.8,,90.7,90.7,90.8,90.8,False,WT,LBW,,174.4,
"Munnsville Wind Farm, LLC Munnsville Wind Power",E,323609,Bouckville,053,36,2007-08-20,34.5,,34.5,34.5,34.5,34.5,False,WT,LBW,,82.0,
Hardscrabble Wind Power LLC Hardscrabble Wind,E,323673,Fairfield,043,36,2011-02-01,74.0,,74.0,74.0,74.0,74.0,False,WT,LBW,,164.4,
Galt Power Inc. Copenhagen Wind Farm,E,323753,Copenhagen,049,36,2018-12-01,79.9,,79.9,79.9,0.0,0.0,False,WT,LBW,,238.3,
Avangrid Renewables LLC Roaring Brook Wind,E,323790,Martinsburg,049,36,2021-08-30,79.7,,79.7,79.7,79.7,79.7,False,WT,LBW,,164.1,
Number Three Wind LLC Number Three Wind Power,E,323818,Lowville,049,36,2023-07-01,103.9,,105.8,105.8,103.9,103.9,False,WT,LBW,,273.7,
"Bluestone Wind, LLC BlueStone Wind",E,323821,Sanford,007,36,2024-02-01,111.8,,124.2,124.2,111.8,111.8,False,WT,LBW,,293.9,
Long Island Power Authority South Fork Wind,K,323839,E Hampton,103,36,2024-07-16,136.0,,136.0,136.0,132.0,132.0,False,WT,OSW,,190.9,(N) (4)
